fire_radiance,Longitude,Latitude,geometry
1.2385857,-119.583046,44.87109,POINT (-119.5830459594727 44.87108993530273)
1.5621165,-119.59108,44.866467,POINT (-119.5910797119141 44.8664665222168)
1.0040259,-119.58145,44.864914,POINT (-119.5814514160156 44.86491394042969)
1.036379,-111.59327,42.685574,POINT (-111.5932693481445 42.68557357788086)
1.1415265,-117.921265,43.99213,POINT (-117.9212646484375 43.99213027954102)
1.1900561,-117.923805,43.98549,POINT (-117.9238052368164 43.98548889160156)
2.3143256,-117.896,43.97338,POINT (-117.8960037231445 43.97338104248047)
2.2738843,-117.88586,43.971558,POINT (-117.885856628418 43.9715576171875)
0.9635846,-117.87572,43.969727,POINT (-117.8757171630859 43.9697265625)
1.335645,-117.9707,43.944305,POINT (-117.970703125 43.94430541992188)
1.6510874,-117.96715,43.912025,POINT (-117.9671478271484 43.91202545166016)
0.8665254,-118.004425,43.89744,POINT (-118.0044250488281 43.89744186401367)
5.897429,-118.01659,43.89255,POINT (-118.0165863037109 43.89255142211914)
7.3128757,-118.006805,43.89079,POINT (-118.0068054199219 43.89078903198242)
1.0121142,-120.50575,44.036102,POINT (-120.5057525634766 44.03610229492188)
0.90696675,-120.50477,44.029484,POINT (-120.504768371582 44.02948379516602)
0.9878494,-120.51623,44.024426,POINT (-120.516227722168 44.0244255065918)
1.068732,-120.497284,44.02147,POINT (-120.4972839355469 44.02146911621094)
0.87461364,-120.518196,44.01789,POINT (-120.518196105957 44.01789093017578)
2.7834451,-120.50873,44.016415,POINT (-120.5087280273438 44.01641464233398)
0.915055,-120.49925,44.01493,POINT (-120.4992523193359 44.01493072509766)
2.2172663,-120.51071,44.009872,POINT (-120.5107116699219 44.00987243652344)
1.3599098,-120.50124,44.008396,POINT (-120.5012435913086 44.00839614868164)
0.8584371,-106.014206,39.78748,POINT (-106.0142059326172 39.78747940063477)
1.0444672,-120.22607,42.12396,POINT (-120.2260665893555 42.12395858764648)
0.90696675,-120.26479,42.123466,POINT (-120.2647933959961 42.12346649169922)
1.6429992,-108.615944,39.41522,POINT (-108.6159439086914 39.41521835327148)
2.2010899,-108.60733,39.412807,POINT (-108.6073303222656 39.41280746459961)
0.85034883,-120.2141,41.042397,POINT (-120.2141036987305 41.04239654541016)
1.8937355,-120.68928,40.351818,POINT (-120.6892776489258 40.3518180847168)
3.7216845,-120.68021,40.350323,POINT (-120.6802062988281 40.35032272338867)
0.9716729,-120.671135,40.348827,POINT (-120.6711349487305 40.34882736206055)
5.234191,-120.70027,40.346767,POINT (-120.7002716064453 40.34676742553711)
5.1371317,-120.69133,40.345272,POINT (-120.6913299560547 40.34527206420898)
2.9452105,-120.68224,40.343777,POINT (-120.682243347168 40.34377670288086)
6.3989015,-120.673134,40.342266,POINT (-120.6731338500977 40.34226608276367)
5.1937494,-120.72029,40.343185,POINT (-120.7202911376953 40.34318542480469)
24.492361,-120.71126,40.341698,POINT (-120.7112579345703 40.34169769287109)
4.643747,-120.702354,40.34022,POINT (-120.7023544311523 40.3402214050293)
1.578293,-120.693405,40.33874,POINT (-120.6934051513672 40.33874130249023)
2.6459446,-120.684296,40.337234,POINT (-120.6842956542969 40.33723449707031)
5.7680163,-120.67514,40.33572,POINT (-120.6751403808594 40.33572006225586)
8.437145,-120.72227,40.336636,POINT (-120.7222671508789 40.33663558959961)
12.222455,-120.71325,40.335148,POINT (-120.713249206543 40.33514785766602)
1.2224091,-120.704346,40.33367,POINT (-120.704345703125 40.33367156982422)
1.335645,-120.69544,40.332184,POINT (-120.695442199707 40.33218383789062)
4.579041,-120.686325,40.330685,POINT (-120.6863250732422 40.33068466186523)
0.87461364,-120.67716,40.32917,POINT (-120.6771621704102 40.32917022705078)
2.4032965,-120.7242,40.330093,POINT (-120.7241973876953 40.33009338378906)
3.0907993,-120.71523,40.3286,POINT (-120.7152328491211 40.3286018371582)
1.7077054,-120.70633,40.327126,POINT (-120.7063293457031 40.32712554931641)
3.7297726,-120.69745,40.325657,POINT (-120.6974487304688 40.32565689086914)
2.087854,-120.68839,40.324154,POINT (-120.6883926391602 40.32415390014648)
0.9878494,-120.7532,40.32801,POINT (-120.7531967163086 40.32801055908203)
1.699617,-120.73523,40.32503,POINT (-120.7352294921875 40.32503128051758)
2.8562396,-120.708336,40.320583,POINT (-120.7083358764648 40.32058334350586)
1.8856473,-120.699455,40.31911,POINT (-120.6994552612305 40.31911087036133)
1.0525556,-120.7641,40.32295,POINT (-120.7640991210938 40.32294845581055)
1.9260886,-120.75517,40.321472,POINT (-120.7551727294922 40.32147216796875)
0.92314327,-120.719185,40.315514,POINT (-120.7191848754883 40.31551361083984)
1.1738795,-120.71026,40.314034,POINT (-120.7102584838867 40.31403350830078)
3.0746229,-120.766,40.316383,POINT (-120.765998840332 40.31638336181641)
3.1555054,-120.76782,40.309822,POINT (-120.767822265625 40.30982208251953)
1.8047645,-120.72295,40.30239,POINT (-120.7229537963867 40.30239105224609)
1.246674,-120.769684,40.30326,POINT (-120.7696838378906 40.30326080322266)
1.4893221,-120.73366,40.297295,POINT (-120.7336578369141 40.29729461669922)
0.93123156,-120.72472,40.295807,POINT (-120.7247161865234 40.29580688476562)
1.2385857,-120.780556,40.298203,POINT (-120.7805557250977 40.29820251464844)
2.9128575,-120.771515,40.296707,POINT (-120.7715148925781 40.29670715332031)
3.1555054,-120.773315,40.290127,POINT (-120.7733154296875 40.29012680053711)
3.2525647,-120.77516,40.28357,POINT (-120.7751617431641 40.2835693359375)
1.6025578,-120.77703,40.276997,POINT (-120.7770309448242 40.27699661254883)
1.7804997,-120.76967,40.2689,POINT (-120.7696685791016 40.26890182495117)
2.087854,-122.9382,40.45735,POINT (-122.9382019042969 40.45735168457031)
1.0121142,-122.92891,40.45599,POINT (-122.9289093017578 40.45598983764648)
0.915055,-120.85282,40.05757,POINT (-120.8528213500977 40.05757141113281)
2.6459446,-120.891754,39.90081,POINT (-120.8917541503906 39.90081024169922)
3.535654,-120.88274,39.899315,POINT (-120.8827362060547 39.89931488037109)
1.0040259,-120.87371,39.89781,POINT (-120.8737106323242 39.89781188964844)
1.068732,-120.9117,39.897232,POINT (-120.9116973876953 39.89723205566406)
1.6510874,-120.902695,39.89575,POINT (-120.9026947021484 39.89574813842773)
4.5385995,-120.89368,39.89426,POINT (-120.8936767578125 39.89426040649414)
6.326107,-120.884636,39.892754,POINT (-120.884635925293 39.89275360107422)
1.1415265,-120.87555,39.89125,POINT (-120.8755493164062 39.89125061035156)
0.9716729,-122.757675,40.179638,POINT (-122.7576751708984 40.17963790893555)
1.2062327,-122.74862,40.178284,POINT (-122.7486190795898 40.17828369140625)
0.88270193,-122.721436,40.17426,POINT (-122.721435546875 40.17425918579102)
15.23938,-120.913666,39.890694,POINT (-120.9136657714844 39.89069366455078)
7.38567,-120.90463,39.889194,POINT (-120.9046325683594 39.88919448852539)
1.7804997,-120.89558,39.8877,POINT (-120.8955764770508 39.88769912719727)
2.176825,-120.88649,39.886192,POINT (-120.8864898681641 39.88619232177734)
4.983454,-120.877426,39.884686,POINT (-120.8774261474609 39.88468551635742)
3.1312406,-120.86834,39.88318,POINT (-120.8683395385742 39.8831787109375)
2.8562396,-122.77723,40.17566,POINT (-122.777229309082 40.1756591796875)
7.045963,-122.768234,40.174335,POINT (-122.7682342529297 40.17433547973633)
1.4327042,-122.72316,40.167656,POINT (-122.7231597900391 40.16765594482422)
1.4731455,-122.7141,40.166317,POINT (-122.7141036987305 40.16631698608398)
1.5621165,-120.915565,39.88414,POINT (-120.9155654907227 39.88414001464844)
2.2577076,-120.90653,39.88264,POINT (-120.9065322875977 39.88264083862305)
1.4812338,-120.89746,39.88114,POINT (-120.8974609375 39.88114166259766)
1.8937355,-120.88835,39.879623,POINT (-120.8883514404297 39.87962341308594)
2.3790317,-120.87928,39.878117,POINT (-120.879280090332 39.87811660766602)
3.6165369,-120.87019,39.876606,POINT (-120.8701934814453 39.87660598754883)
7.9356728,-122.77877,40.169044,POINT (-122.7787704467773 40.16904449462891)
2.7430038,-122.76975,40.167713,POINT (-122.7697525024414 40.1677131652832)
1.0849086,-120.92633,39.87906,POINT (-120.9263305664062 39.87905883789062)
1.1091734,-120.9173,39.87756,POINT (-120.9172973632812 39.87755966186523)
3.2849178,-120.90835,39.876076,POINT (-120.9083480834961 39.87607574462891)
1.788588,-120.899345,39.874588,POINT (-120.8993453979492 39.87458801269531)
1.4407924,-120.89027,39.873066,POINT (-120.890266418457 39.87306594848633)
1.9584417,-120.88114,39.87155,POINT (-120.8811416625977 39.87155151367188)
1.5621165,-120.87207,39.870045,POINT (-120.8720703125 39.87004470825195)
1.400351,-122.780396,40.162434,POINT (-122.7803955078125 40.16243362426758)
11.065833,-122.77138,40.161095,POINT (-122.7713775634766 40.16109466552734)
2.3143256,-122.762375,40.159763,POINT (-122.7623748779297 40.15976333618164)
2.2819724,-120.918976,39.870968,POINT (-120.9189758300781 39.87096786499023)
25.923985,-120.90999,39.869476,POINT (-120.9099884033203 39.86947631835938)
1.068732,-120.9011,39.868004,POINT (-120.9011001586914 39.86800384521484)
1.7643232,-120.89215,39.866516,POINT (-120.8921508789062 39.86651611328125)
2.872416,-120.883064,39.865,POINT (-120.8830642700195 39.8650016784668)
2.2819724,-122.77298,40.154484,POINT (-122.7729797363281 40.15448379516602)
1.367998,-122.764,40.153156,POINT (-122.7639999389648 40.15315628051758)
2.1040306,-121.5809,39.971523,POINT (-121.5809020996094 39.97152328491211)
0.915055,-120.93895,39.867416,POINT (-120.9389495849609 39.86741638183594)
12.796722,-120.911644,39.86286,POINT (-120.9116439819336 39.86286163330078)
1.1657913,-120.90271,39.861385,POINT (-120.9027099609375 39.86138534545898)
2.3224137,-120.89387,39.85992,POINT (-120.8938674926758 39.85992050170898)
1.400351,-120.88481,39.858425,POINT (-120.8848114013672 39.85842514038086)
3.8430085,-122.77448,40.147854,POINT (-122.7744827270508 40.14785385131836)
1.335645,-122.76552,40.146534,POINT (-122.7655181884766 40.14653396606445)
3.5518308,-121.58264,39.96496,POINT (-121.5826416015625 39.96495819091797)
1.3518214,-120.94056,39.86081,POINT (-120.940559387207 39.86080932617188)
1.1010852,-120.904335,39.854782,POINT (-120.9043350219727 39.85478210449219)
1.12535,-120.89551,39.853313,POINT (-120.8955078125 39.85331344604492)
2.2819724,-122.77592,40.141224,POINT (-122.7759170532227 40.1412239074707)
3.9481559,-122.76705,40.139896,POINT (-122.7670516967773 40.13989639282227)
4.2635984,-122.6591,40.123898,POINT (-122.6591033935547 40.12389755249023)
13.64599,-122.65005,40.122547,POINT (-122.6500473022461 40.1225471496582)
7.6606717,-122.64103,40.121197,POINT (-122.6410293579102 40.12119674682617)
1.4407924,-122.63202,40.119858,POINT (-122.6320190429688 40.11985778808594)
0.8665254,-121.58439,39.958393,POINT (-121.5843887329102 39.95839309692383)
1.3437332,-120.93316,39.8527,POINT (-120.9331588745117 39.85269927978516)
2.1930015,-122.76571,40.13423,POINT (-122.7657089233398 40.13423156738281)
2.6216798,-122.65778,40.118153,POINT (-122.6577835083008 40.1181526184082)
1.5378517,-122.64875,40.116802,POINT (-122.6487503051758 40.11680221557617)
4.975366,-122.63975,40.11545,POINT (-122.6397476196289 40.11545181274414)
1.6753522,-122.630745,40.114105,POINT (-122.630744934082 40.11410522460938)
2.0474126,-122.74969,40.125008,POINT (-122.7496871948242 40.12500762939453)
1.4165276,-122.63244,40.10751,POINT (-122.632438659668 40.10750961303711)
2.8966808,-122.76035,40.119747,POINT (-122.7603530883789 40.11974716186523)
1.3599098,-122.751175,40.118362,POINT (-122.7511749267578 40.11836242675781)
1.788588,-122.643135,40.10225,POINT (-122.6431350708008 40.10224914550781)
9.132736,-122.63413,40.100903,POINT (-122.6341323852539 40.10090255737305)
1.1496147,-122.761765,40.113075,POINT (-122.7617645263672 40.11307525634766)
1.3032919,-122.64481,40.095654,POINT (-122.6448135375977 40.09565353393555)
47.33363,-122.63579,40.094315,POINT (-122.6357879638672 40.09431457519531)
5.4606624,-122.626785,40.092968,POINT (-122.6267852783203 40.09296798706055)
